what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1403269650345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269651914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269653886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269653909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269658107
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1403269658506
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1403269658622
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1403269658665
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1403269659510
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1403269659585
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403269659981
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1403269661157
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1403269663001
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1403269664015
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1403269664250
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1403269664329
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1403269666332
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403269668381
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1403269668381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269669121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269670371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269670973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269675988
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.J2EEPerspective",1403269679196
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1403269686493
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1403269687982
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403269699594
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403269707865
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403269709753
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403269712919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403269717121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403269717763
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403269720191
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1403269720342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269723166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269723445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269723462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269723516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403269723517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269725224
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269725837
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403269727188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1403269728267
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1403269733087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269735424
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1403269737027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269737048
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1403269737059
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403269748183
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1403269748184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269748607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269753583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269754921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269755596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269755865
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269759748
